"project_id","status","year_comp","area_ha","proj_name","proj_part","street_num","street_name","street_type","add_misc","suburb","detached","townhouses","apartments","unknown","att_1s","att_2_3s","att_4s","total_dwel","max_storeys","lga","region","file_year","x_id","identifier","year_compX","w_id","group_id","isec_area_ha","flag","isec_pct"
"R08592","Completed",2011,0.9,NA,NA,"52-62","Cade","WAY",NA,"Parkville",0,NA,NA,0,0,0,996,996,NA,"Melbourne","Inner",2012,1695,"52-62 cade",2011,1596,37,0.889792822516523,"further checking",99.2979735602527
"R06332","Completed",2009,0.21,"Marshall Street Dwellings",NA,"100-102","Marshall","Street",NA,"Ivanhoe",0,NA,NA,0,16,0,0,16,NA,"Banyule","North",2010,886,"100-102 marshall",2009,787,39,0.0282341055236058,"further checking",13.4836161380119
"R11148","Completed",2012,0.03,NA,NA,"100-102","Marshall","St",NA,"Ivanhoe",0,NA,NA,0,16,0,0,16,NA,"Banyule","North",2013,1854,"100-102 marshall",2012,1755,39,0.0282341055236058,"further checking",99.753442710941
"R00229","Completed",2005,0.26,"Para Road Units","None","265-269","Para","Road",NA,"Greensborough",0,NA,NA,0,0,36,0,36,NA,"Banyule","North",2007,457,"265-269 para",2005,358,40,0.246387286571227,"further checking",94.1606845135884
"R11169","Completed",2012,0.25,NA,NA,"265","Para","Rd",NA,"Greensborough",0,NA,NA,36,0,0,0,36,NA,"Banyule","North",2013,1856,"265 para",2012,1757,40,0.246387286571227,"further checking",99.9655077642089
"R01023","Completed",2007,0.63,"Waterford Green - Stage 8","None","48","Wests","Road",NA,"Maribyrnong",0,NA,NA,0,0,67,0,67,NA,"Maribyrnong","West",2007,492,"48 wests",2007,393,47,0.630763313519955,"further checking",99.9937974170584
"R11279","Completed",2012,0.95,"Waterford Green Ne",NA,"8-60","Wests","Rd",NA,"Maribyrnong",0,NA,NA,0,0,0,67,67,NA,"Maribyrnong","West",2013,1870,"8-60 wests",2012,1771,47,0.630763313519955,"further checking",66.6100647028529
"R05765","Completed",2008,0.18,"Churchill Avenue Apartments",NA,"15-19","Churchill","Avenue",NA,"Maidstone",0,NA,NA,20,0,0,0,20,NA,"Maribyrnong","West",2010,877,"15-19 churchill",2008,778,48,0.183498525923491,"further checking",99.9412256478752
"R11282","Completed",2012,0.18,"Yarra Community Housing",NA,"28","Rooney","St",NA,"Maidstone",0,NA,NA,0,0,20,0,20,NA,"Maribyrnong","West",2013,1873,"28 rooney",2012,1774,48,0.183498525923491,"further checking",99.8205477201401
"R05484","Completed",2008,0.78,"Berry Street Multi Use",NA,"11-19","Berry","Street",NA,"Yarraville",0,NA,NA,0,0,48,0,48,NA,"Maribyrnong","West",2010,823,"11-19 berry",2008,724,51,0.705252379923314,"further checking",90.3993833363141
"R11285","Completed",2012,1.21,"Berry Street Vu Site",NA,"11-19","Berry","St",NA,"Yarraville",0,NA,NA,0,0,46,0,46,NA,"Maribyrnong","West",2013,1876,"11-19 berry",2012,1777,51,0.705252379923314,"further checking",58.3755646336555
"R00693","Completed",2008,0.18,"Uni City Apartments",NA,"198-200","Ballarat","Road",NA,"Footscray",0,NA,NA,0,0,0,117,117,NA,"Maribyrnong","West",2010,651,"198-200 ballarat",2008,552,53,0.116197322952375,"further checking",64.4895725208586
"R11287","Completed",2012,0.12,"Unicity Apartments",NA,"200","Ballarat","Rd",NA,"Footscray",0,NA,NA,0,0,0,117,117,NA,"Maribyrnong","West",2013,1878,"200 ballarat",2012,1779,53,0.116197322952375,"further checking",99.4200557899481
"R03409","Completed",2011,1.23,"Buncle Street Apartments",NA,"52-76","Buncle","STREET",NA,"North Melbourne",0,NA,NA,20,0,0,234,254,NA,"Moonee Valley","West",2011,1167,"52-76 buncle",2011,1068,55,0.594884860238992,"further checking",48.3107314347703
"R11381","Completed",2012,0.6,"Buncle Street Development",NA,"32A","Mark","St",NA,"North Melbourne",0,NA,NA,0,0,77,0,77,NA,"Melbourne","Inner",2013,1936,"32A mark",2012,1837,55,0.594884860238992,"further checking",99.9353611708406
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,56,0.143815614927933,"further checking",0.799688971544897
"R11445","Completed",2012,0.27,"Ville Apartments (phase 1)",NA,"78-84","Cade","Wy",NA,"Parkville",0,NA,NA,0,0,49,0,49,NA,"Melbourne","Inner",2013,1948,"78-84 cade",2012,1849,56,0.143815614927933,"further checking",53.9971200437767
"R10326","Completed",2011,0.11,NA,NA,"367-369","BURWOOD","ROAD",NA,"Hawthorn",0,NA,NA,0,0,0,194,194,NA,"Boroondara","East",2012,1720,"367-369 burwood",2011,1621,57,0.105785799472476,"further checking",100.000000002096
"R10315","Completed",2013,0.11,"Vivida Student Apartments",NA,"2-8","Beavis","Street",NA,"Hawthorn",0,NA,NA,0,0,0,194,194,NA,"Boroondara","East",2014,2020,"2-8 beavis",2013,1921,57,0.105785799472476,"further checking",100.000000002096
"R03361","Completed",2004,12.36,"Edgewater Estate","Stage 1",NA,"Gordon","Street",NA,"Maribyrnong",0,NA,NA,150,0,0,0,150,NA,"Maribyrnong","West",2005,304,"NA gordon",2004,205,58,9.27179467874318,"further checking",75.0003471697438
"R08918","Completed",2013,11.39,"Edgewater Estate B1",NA,NA,"Edgewater","Boulevard",NA,"Maribyrnong",0,NA,NA,0,0,177,0,177,NA,"Maribyrnong","Inner",2014,2068,"NA edgewater",2013,1969,58,9.27179467874318,"further checking",81.3499616166639
"R03613","Completed",2007,2.18,"Edgewater Estate","None",NA,"Gordon","Street",NA,"Maribyrnong",22,NA,NA,0,18,0,0,40,NA,"Maribyrnong","West",2007,520,"NA gordon",2007,421,59,1.58680280894488,"further checking",72.8489408703423
"R10991","Completed",2013,1.59,"Edgewater Estate E",NA,NA,"Sunset","Pl",NA,"Maribyrnong",40,NA,NA,0,0,0,0,40,NA,"Maribyrnong","Inner",2014,2070,"NA sunset",2013,1971,59,1.58680280894488,"further checking",99.9895121387064
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,60,0.260205372990482,"further checking",1.44687603791485
"R12667","Completed",2013,0.44,"Ville Apartments - Stage 3",NA,"92-114","Cade","WY",NA,"Parkville",0,NA,NA,0,0,0,58,58,NA,"Melbourne","Inner",2014,2131,"92-114 cade",2013,2032,60,0.260205372990482,"further checking",58.9102949902837
"R03154","Completed",2007,1.95,"Woodlands Park Retirement Village",NA,"72","Kangan","Drive",NA,"Berwick",0,NA,NA,0,50,0,0,50,NA,"Casey","South",2010,682,"72 kangan",2007,583,62,1.94426457729973,"further checking",99.8852872658021
"R07207","Completed",2013,10.78,"Woodlands Park Retirement Village",NA,"72","Kangan","Drive",NA,"Berwick",0,NA,NA,0,150,0,0,150,NA,"Casey","South",2014,2192,"72 kangan",2013,2093,62,1.94426457729973,"further checking",18.0313929192425
"R07206","Completed",2009,2.97,"Woodlands Park Retirement Village",NA,"72","Kangan","Drive",NA,"Berwick",100,NA,NA,0,0,0,0,100,NA,"Casey","South",2011,1417,"72 kangan",2009,1318,63,2.9081603604272,"further checking",97.9962470301323
"R07207","Completed",2013,10.78,"Woodlands Park Retirement Village",NA,"72","Kangan","Drive",NA,"Berwick",0,NA,NA,0,150,0,0,150,NA,"Casey","South",2014,2192,"72 kangan",2013,2093,63,2.9081603604272,"further checking",26.9707028268019
"R00540","Completed",2013,3.34,"Nylex Site",NA,"25","Nepean","Street",NA,"Mentone",0,NA,NA,0,0,119,0,119,NA,"Kingston","South",2014,2223,"25 nepean",2013,2124,64,3.29280433732904,"further checking",98.4956459911939
"R10961","Completed",2013,3.3,"Aquilo Residential Townhouses Remaining Stage 1",NA,"34-94","Oak","Avenue",NA,"Mentone",0,NA,NA,0,0,119,0,119,NA,"Kingston","South",2014,2224,"34-94 oak",2013,2125,64,3.29280433732904,"further checking",99.8734775530693
"R08138","Completed",2012,0.14,"Railway Road Dwellings",NA,"17","Railway","Road",NA,"Blackburn",0,NA,NA,0,0,13,0,13,NA,"Whitehorse","East",2013,1757,"17 railway",2012,1658,65,0.132078079820704,"further checking",96.5571471371031
"R11061","Completed",2013,0.14,"Railway Parade Apartment Building",NA,"15","Railway","Road",NA,"Blackburn",0,NA,NA,0,0,13,0,13,NA,"Whitehorse","East",2014,2242,"15 railway",2013,2143,65,0.132078079820704,"further checking",95.9069494337838
"R00685","Completed",2012,5.75,"Jmc Site",NA,"17-25","Hampstead","Road",NA,"Maidstone",0,NA,NA,317,0,0,0,317,NA,"Maribyrnong","West",2013,2011,"17-25 hampstead",2012,1912,66,1.90055747680232,"further checking",33.0493396395685
"R10429","Completed",2014,1.9,"Jmc Site Precinct 2",NA,"17-25","Hampstead","RD",NA,"Maidstone",0,NA,NA,0,0,131,0,131,NA,"Maribyrnong","Inner",2015,2321,"17-25 hampstead",2014,2222,66,1.90055747680232,"further checking",99.995691103706
"R03550","Completed",2004,0.17,NA,"None","233-239","Collins","Street",NA,"MELBOURNE",0,NA,NA,155,0,0,0,155,NA,"Melbourne","Inner",2004,174,"233-239 collins",2004,79,67,0.166831259147322,"further checking",99.4796708779228
"R11361","Completed",2014,0.17,NA,NA,"233-239","Collins","ST",NA,"Melbourne",0,NA,NA,0,0,0,36,36,NA,"Melbourne","Inner",2015,2359,"233-239 collins",2014,2260,67,0.166831259147322,"further checking",99.4286844586456
"R03298","Completed",2006,0.18,"Boundary Road","None","185-187","Boundary","Road",NA,"North Melbourne",0,NA,NA,0,0,0,52,52,NA,"Moonee Valley","West",2006,400,"185-187 boundary",2006,301,68,0.15821891785562,"further checking",89.4843743222362
"R10431","Completed",2014,0.16,"Serra Apartments",NA,"183-187","Boundary","RD",NA,"North Melbourne",0,NA,NA,0,0,54,0,54,NA,"Melbourne","Inner",2015,2379,"183-187 boundary",2014,2280,68,0.15821891785562,"further checking",100.000000000471
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,69,0.183288166338205,"further checking",1.01917670976687
"R11384","Completed",2014,0.32,"Ville Apartments (phase 2)",NA,"86-90","Cade","WAY",NA,"Parkville",0,NA,NA,0,0,51,0,51,NA,"Melbourne","Inner",2015,2381,"86-90 cade",2014,2282,69,0.183288166338205,"further checking",56.4034975521028
"R07984","Completed",2010,1.4,NA,NA,"5","Centre","Road",NA,"Brighton East",0,NA,NA,0,0,24,0,24,NA,"Bayside","South",2011,1500,"5 centre",2010,1401,70,1.39960800892916,"further checking",100.000000000052
"R11516","Completed",2014,1.63,"Mayflower Retirement Community",NA,"7","Centre","ROAD",NA,"Brighton East",0,NA,NA,0,0,35,0,35,NA,"Bayside","South",2015,2426,"7 centre",2014,2327,70,1.39960800892916,"further checking",85.5640394728446
"R01083","Completed",2008,5.83,"Rusden Place Apartments",NA,"662-678","Blackburn","Road",NA,"Notting Hill",0,NA,NA,0,0,320,0,320,NA,"Monash","East",2010,667,"662-678 blackburn",2008,568,71,0.546100507114828,"further checking",9.36331380566598
"R13263","Completed",2014,0.55,"Normanby Road Townhouses",NA,"215","Normanby","Road",NA,"Notting Hill",0,NA,NA,0,0,66,0,66,NA,"Monash","East",2015,2473,"215 normanby",2014,2374,71,0.546100507114828,"further checking",99.9999999992496
"R07261","Completed",2009,0.47,NA,NA,"738-740","Station","Street",NA,"Box Hill",0,NA,NA,0,0,73,0,73,NA,"Whitehorse","East",2011,1433,"738-740 station",2009,1334,72,0.103201919543743,"further checking",21.8053267048348
"R10657","Completed",2015,0.1,"Station Street Apartment Building",NA,"746/748","Station","Street",NA,"Box Hill",0,NA,NA,0,0,0,25,25,NA,"Whitehorse","East",2016,2528,"746/748 station",2015,2429,72,0.103201919543743,"further checking",99.9999999992781
"R05606","Completed",2011,11.53,"Janefield",NA,NA,"Plenty","ROAD",NA,"Bundoora",0,NA,NA,0,0,449,0,449,NA,"Whittlesea","North",2012,1585,"NA plenty",2011,1486,73,9.66838273981146,"further checking",83.8423393350681
"R05607","Completed",2016,37.94,"Janefield",NA,NA,"Plenty","Road",NA,"Bundoora",399,NA,NA,0,0,0,0,399,NA,"Whittlesea","North",2016,2593,"NA plenty",2016,2494,73,9.66838273981146,"further checking",25.4711599078448
"R10170","Completed",2013,0.55,"Olive York Way Dwellings",NA,"8-12","Olive York","Way",NA,"Brunswick West",0,NA,NA,0,150,0,0,150,NA,"Moreland","North",2014,2170,"8-12 olive york",2013,2071,74,0.54986097676754,"further checking",100.000000000271
"R10171","Completed",2015,0.55,"Olive York Way Mixed Use Development",NA,"2-6","Olive York","Way",NA,"Brunswick West",0,NA,NA,0,0,0,147,147,NA,"Moreland","North",2016,2616,"2-6 olive york",2015,2517,74,0.54986097676754,"further checking",99.9999999998645
"R03490","Completed",2004,0.47,"Red Cross Site","None","1-25","Balston","Street",NA,"Southbank",0,NA,NA,0,0,0,277,277,NA,"Melbourne","Inner",2005,310,"1-25 balston",2004,211,76,0.228607574912906,"further checking",49.0445071300531
"R08618","Completed",2015,0.23,"Epic (south Tower)",NA,"110-120","Kavanagh","Street",NA,"Southbank",0,NA,NA,0,0,0,382,382,NA,"Melbourne","Inner",2016,2698,"110-120 kavanagh",2015,2599,76,0.228607574912906,"further checking",99.6021552867045
"R0732","Completed",2004,1.55,"Sovereign Point","None","31 - 47","Williamsons","Road",NA,"DONCASTER",0,NA,NA,0,0,112,0,112,NA,"Manningham","East",2004,25,"31 - 47 williamsons",2004,7,77,0.295787655965448,"further checking",19.0778737658318
"R07050","Completed",2009,0.87,"Sovereign Point Apartments E & F",NA,"31-47","Williamsons","Road",NA,"Doncaster",0,NA,NA,0,0,16,0,16,NA,"Manningham","East",2011,1400,"31-47 williamsons",2009,1301,77,0.295787655965448,"further checking",34.1329086989852
"R11219","Completed",2016,0.29628515,"Imperial Doncaster",NA,"5","Sovereign Point","Road",NA,"Doncaster",0,0,69,0,NA,NA,NA,69,10,"Manningham","Eastern Region",2017,2714,"5 sovereign point",2016,2615,77,0.295787655965448,"further checking",99.8320906379319
"R07261","Completed",2009,0.47,NA,NA,"738-740","Station","Street",NA,"Box Hill",0,NA,NA,0,0,73,0,73,NA,"Whitehorse","East",2011,1433,"738-740 station",2009,1334,78,0.146537313153595,"further checking",30.9615751517922
"R12509","Completed",2016,0.14653732,"Station Street Apartments",NA,"740","Station","Road",NA,"Box Hill",0,0,47,0,NA,NA,NA,47,4,"Whitehorse","Eastern Region",2017,2743,"740 station",2016,2644,78,0.146537313153595,"further checking",100
"R00644","Completed",2008,3.97,NA,NA,"502-514","Burwood","Highway",NA,"Vermont South",0,NA,NA,0,200,0,0,200,NA,"Whitehorse","East",2010,646,"502-514 burwood",2008,547,79,3.65671617981244,"further checking",92.1334047644616
"R10962","Completed",2016,3.65868473,"Victoria Grange Retirement Village",NA,"502-514","Burwood","Highway",NA,"Vermont South",0,72,0,0,NA,NA,NA,72,2,"Whitehorse","Eastern Region",2017,2749,"502-514 burwood",2016,2650,79,3.65671617981244,"further checking",99.9461940449712
"R00741","Completed",2007,7.42,"Mingarra Retirement Village",NA,"77-115","Mount Dandenong","Road",NA,"Croydon",60,NA,NA,0,0,0,0,60,NA,"Maroondah","East",2010,655,"77-115 mount dandenong",2007,556,82,1.99447771110234,"further checking",26.8833430883743
"R15360","Completed",2016,1.99502683," ",NA,"77-117","Mt Dandenong","Road"," ","Croydon",0,36,0,0,NA,NA,NA,36,1,"Maroondah","Eastern Region",2017,2806,"77-117 mt dandenong",2016,2707,82,1.99447771110234,"further checking",99.9724741673198
